cenario_id,geracao_fv_kw,irradiancia_w_m2,carga_kw,no_rede,fator_potencia,tensao_inicial_pu,tensao_resultado_pu,classificacao_risco,origem_resultado
289,1000.0,700.0,1250.0,675,1.0,1.0491767244385408,1.0525683238047001,ATENÇÃO,OPENDSS
290,1000.0,700.0,1500.0,675,1.0,1.04793400185747,1.0513610809470932,ATENÇÃO,OPENDSS
291,1000.0,700.0,1750.0,675,1.0,1.0467656419480598,1.0501834837906767,ATENÇÃO,OPENDSS
292,1000.0,700.0,2000.0,675,1.0,1.0448693989505173,1.048476755494733,BAIXO,OPENDSS
293,1000.0,800.0,0.0,675,1.0,1.0426313134570546,1.0466332638781597,BAIXO,OPENDSS
294,1000.0,800.0,250.0,675,1.0,1.0481216271804614,1.0519725948943504,ATENÇÃO,OPENDSS
295,1000.0,800.0,500.0,675,1.0,1.0465566010760377,1.0505785997588493,ATENÇÃO,OPENDSS
296,1000.0,800.0,750.0,675,1.0,1.0452702884617993,1.049360986363557,BAIXO,OPENDSS
297,1000.0,800.0,1000.0,675,1.0,1.0439870094004733,1.0480951152822546,BAIXO,OPENDSS
298,1000.0,800.0,1250.0,675,1.0,1.0491767244385408,1.0530460105137618,ATENÇÃO,OPENDSS
299,1000.0,800.0,1500.0,675,1.0,1.04793400185747,1.0518316841631692,ATENÇÃO,OPENDSS
300,1000.0,800.0,1750.0,675,1.0,1.0467656419480598,1.0506507097892241,ATENÇÃO,OPENDSS
301,1000.0,800.0,2000.0,675,1.0,1.0448693989505173,1.049009166080557,BAIXO,OPENDSS
302,1000.0,900.0,0.0,675,1.0,1.0426313134570546,1.0471215110044179,BAIXO,OPENDSS
303,1000.0,900.0,250.0,675,1.0,1.0481216271804614,1.052440329406074,ATENÇÃO,OPENDSS
304,1000.0,900.0,500.0,675,1.0,1.0465566010760377,1.0510579389249999,ATENÇÃO,OPENDSS
305,1000.0,900.0,750.0,675,1.0,1.0452702884617993,1.0498542735635488,BAIXO,OPENDSS
306,1000.0,900.0,1000.0,675,1.0,1.0439870094004733,1.0486047946044272,BAIXO,OPENDSS
307,1000.0,900.0,1250.0,675,1.0,1.0491767244385408,1.0535231842261428,ATENÇÃO,OPENDSS
308,1000.0,900.0,1500.0,675,1.0,1.04793400185747,1.0523051805285584,ATENÇÃO,OPENDSS
309,1000.0,900.0,1750.0,675,1.0,1.0467656419480598,1.0511186418541807,ATENÇÃO,OPENDSS
310,1000.0,900.0,2000.0,675,1.0,1.0448693989505173,1.0495333078499223,BAIXO,OPENDSS
311,1000.0,1000.0,0.0,675,1.0,1.0426313134570546,1.047606681550063,BAIXO,OPENDSS
312,1000.0,1000.0,250.0,675,1.0,1.0481216271804614,1.0529059063224653,ATENÇÃO,OPENDSS
313,1000.0,1000.0,500.0,675,1.0,1.0465566010760377,1.051535196441522,ATENÇÃO,OPENDSS
314,1000.0,1000.0,750.0,675,1.0,1.0452702884617993,1.0503356775986585,ATENÇÃO,OPENDSS
315,1000.0,1000.0,1000.0,675,1.0,1.0439870094004733,1.0491126482674904,BAIXO,OPENDSS
316,1000.0,1000.0,1250.0,675,1.0,1.0491767244385408,1.0539996666383187,ATENÇÃO,OPENDSS
317,1000.0,1000.0,1500.0,675,1.0,1.04793400185747,1.0527785447746276,ATENÇÃO,OPENDSS
